Feature Name,Tier Support,GA/Preview,What is the feature for,Microsoft Official Reference Link
LLM Prompt/Completion Logging,All API Management tiers,GA,"Log prompts and completions to Azure Monitor and Application Insights. Enables auditing, compliance tracking, and troubleshooting of AI interactions.",https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-llm-logs
Built-in AI Analytics Dashboard,All API Management tiers,GA,"Pre-built workbook in APIM portal showing token consumption patterns across AI APIs. Visualizes usage by consumer, API, time period for cost management.",https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-llm-logs
Azure API Center Integration,All API Management tiers,GA,"Register APIs and MCP servers in organizational catalog. Enables self-service discovery through API Center portal and synchronization with APIM.",https://learn.microsoft.com/en-us/azure/api-center/synchronize-api-management-apis
MCP Server Registry in API Center,All API Management tiers,GA,"Centralized registry for MCP servers in Azure API Center. Enables discovery and governance of tools available to AI agents across the organization.",https://learn.microsoft.com/en-us/azure/api-center/register-discover-mcp-server
Copilot Studio Connector,All API Management tiers,GA,"Export APIs from API Center to Microsoft Copilot Studio. Extends the capabilities of AI agents and copilots with your organization's APIs.",https://learn.microsoft.com/en-us/azure/api-center/export-to-copilot-studio
AI Gateway in Microsoft Foundry,All API Management tiers,Preview,"Integrate AI gateway directly into Microsoft Foundry control plane. Govern AI models, agents, and tools from within Foundry environment with centralized inventory.",https://learn.microsoft.com/en-us/azure/ai-foundry/configuration/enable-ai-api-management-gateway-portal
Register Custom Agents in Foundry,All API Management tiers,Preview,"Register agents running anywhere (Azure, other clouds, on-premises) into Foundry control plane. Enables centralized inventory, governance, and telemetry for all agents.",https://learn.microsoft.com/en-us/azure/ai-foundry/control-plane/register-custom-agent
Govern MCP Tools via Foundry,All API Management tiers,Preview,"Register MCP tools hosted across any environment for automatic governance and discovery. Tools appear in Foundry inventory for consumption by agents.",https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools/governance
Multi-region Deployment,"Premium, Standard v2, Premium v2",GA,"Deploy API Management gateways in multiple Azure regions. Provides geographic distribution and resilience for AI API traffic with regional backends.",https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-deploy-multi-region
Self-hosted Gateway,"Developer, Premium",GA,"Deploy APIM gateway in containers on-premises or other clouds. Enables AI gateway capabilities in air-gapped or hybrid environments.",https://learn.microsoft.com/en-us/azure/api-management/api-management-gateways-overview
Workspaces,"Premium, Premium v2",GA,"Federated API management with workspace-level gateways. Enables team autonomy with centralized governance for large enterprise AI deployments.",https://learn.microsoft.com/en-us/azure/api-management/workspaces-overview
AI Gateway Early Access Channel,All API Management tiers,Preview,"Get early access to new AI gateway features before GA. Participate in shaping product direction with feedback on latest innovations.",https://learn.microsoft.com/en-us/azure/api-management/configure-service-update-settings
